campaign_id,channel,start_date,end_date,audience_age,gender,budget,impressions,clicks,conversions,revenue
C001,Email,2023-01-01,2023-01-10,25-34,Male,5000,20000,1500,120,12000
C002,"Social Media",2023-02-01,2023-02-15,18-24,Female,7000,50000,3500,260,16000
C003,"Paid Ads",2023-03-01,2023-03-10,35-44,Male,6000,40000,3200,200,14000
C004,Email,2023-03-15,2023-03-25,25-34,Female,3000,10000,900,100,10000
C005,"Social Media",2023-04-01,2023-04-10,18-24,Female,8000,60000,4000,300,18000
C006,"Paid Ads",2023-04-15,2023-04-25,35-44,Male,5500,45000,3100,190,13500
C007,Email,2023-05-01,2023-05-10,25-34,Male,4000,15000,1100,90,10500
C008,"Paid Ads",2023-05-15,2023-05-25,35-44,Female,6500,42000,3000,170,14500
C009,"Social Media",2023-06-01,2023-06-10,18-24,Male,7500,58000,3800,250,17500
C010,Email,2023-06-15,2023-06-25,25-34,Female,3500,18000,1300,110,11500
